Active Connections
Proto  Local Address          Foreign Address        State
TCP    0.0.0.0:135            0.0.0.0:0              LISTENING
TCP    0.0.0.0:445            0.0.0.0:0              LISTENING
TCP    0.0.0.0:2179           0.0.0.0:0              LISTENING
TCP    0.0.0.0:2701           0.0.0.0:0              LISTENING
TCP    0.0.0.0:3389           0.0.0.0:0              LISTENING
TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING
TCP    0.0.0.0:5985           0.0.0.0:0              LISTENING
TCP    0.0.0.0:8000           0.0.0.0:0              LISTENING
TCP    0.0.0.0:8005           0.0.0.0:0              LISTENING
TCP    0.0.0.0:47001          0.0.0.0:0              LISTENING
TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING
TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING
TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING
TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING
TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING
TCP    0.0.0.0:49678          0.0.0.0:0              LISTENING
TCP    0.0.0.0:49682          0.0.0.0:0              LISTENING
TCP    0.0.0.0:60764          0.0.0.0:0              LISTENING
TCP    10.250.20.28:139       0.0.0.0:0              LISTENING
TCP    10.250.20.28:60766     142.250.72.142:443     TIME_WAIT
TCP    10.250.20.28:60803     172.215.180.16:9354    ESTABLISHED
TCP    10.250.20.28:60822     54.70.179.16:443       ESTABLISHED
TCP    10.250.20.28:60823     54.188.33.22:443       ESTABLISHED
TCP    10.250.20.28:60824     10.204.16.116:443      ESTABLISHED
TCP    10.250.20.28:60836     3.233.158.30:443       ESTABLISHED
TCP    10.250.20.28:60837     142.250.72.133:443     ESTABLISHED
TCP    10.250.20.28:60838     3.233.158.13:443       ESTABLISHED
TCP    10.250.20.28:60839     142.250.176.14:443     TIME_WAIT
TCP    10.250.20.28:60841     3.168.147.18:443       ESTABLISHED
TCP    10.250.20.28:60842     18.196.241.73:443      ESTABLISHED
TCP    10.250.20.28:60843     18.65.3.105:443        ESTABLISHED
TCP    10.250.20.28:60844     199.232.210.172:80     TIME_WAIT
TCP    10.250.20.28:60845     142.250.189.3:80       TIME_WAIT
TCP    10.250.20.28:60846     23.204.249.74:80       TIME_WAIT
TCP    10.250.20.28:60847     199.232.210.172:80     TIME_WAIT
TCP    10.250.20.28:60848     20.189.173.8:443       ESTABLISHED
TCP    10.250.20.28:60849     35.186.224.24:443      ESTABLISHED
TCP    10.250.20.28:60850     142.251.215.227:443    ESTABLISHED
TCP    10.250.20.28:60851     52.13.138.150:443      ESTABLISHED
TCP    10.250.20.28:60852     13.33.21.62:443        ESTABLISHED
TCP    10.250.20.28:60853     18.65.25.78:443        ESTABLISHED
TCP    10.250.20.28:60854     216.239.34.157:443     TIME_WAIT
TCP    10.250.20.28:60855     142.250.217.150:443    ESTABLISHED
TCP    10.250.20.28:60856     142.250.72.174:443     ESTABLISHED
TCP    10.250.20.28:60857     142.250.217.150:443    ESTABLISHED
TCP    10.250.20.28:60858     142.251.40.34:443      ESTABLISHED
TCP    10.250.20.28:60859     142.250.72.230:443     ESTABLISHED
TCP    10.250.20.28:60860     142.250.188.227:443    ESTABLISHED
TCP    10.250.20.28:60861     142.251.40.46:443      ESTABLISHED
TCP    10.250.20.28:60862     142.251.40.46:443      ESTABLISHED
TCP    10.250.20.28:60863     151.101.1.91:443       ESTABLISHED
TCP    10.250.20.28:60865     34.36.58.112:443       ESTABLISHED
TCP    10.250.20.28:60872     104.18.35.46:443       ESTABLISHED
TCP    10.250.20.28:60876     142.250.217.136:443    ESTABLISHED
TCP    10.250.20.28:60877     35.224.251.249:443     ESTABLISHED
TCP    10.250.20.28:60878     23.56.109.202:443      ESTABLISHED
TCP    10.250.20.28:60879     151.101.20.157:443     ESTABLISHED
TCP    10.250.20.28:60880     18.65.25.101:443       ESTABLISHED
TCP    10.250.20.28:60881     151.101.129.140:443    ESTABLISHED
TCP    10.250.20.28:60882     13.107.42.14:443       ESTABLISHED
TCP    10.250.20.28:60883     13.107.42.14:443       ESTABLISHED
TCP    10.250.20.28:60884     13.226.225.31:443      ESTABLISHED
TCP    10.250.20.28:60885     13.226.210.99:443      ESTABLISHED
TCP    10.250.20.28:60886     18.154.206.108:443     ESTABLISHED
TCP    10.250.20.28:60887     23.43.51.104:443       ESTABLISHED
TCP    10.250.20.28:60889     162.159.140.229:443    ESTABLISHED
TCP    10.250.20.28:60890     142.250.188.228:443    ESTABLISHED
TCP    10.250.20.28:60891     142.251.40.34:443      ESTABLISHED
TCP    10.250.20.28:60892     142.250.72.162:443     ESTABLISHED
TCP    10.250.20.28:60893     150.171.22.12:443      ESTABLISHED
TCP    10.250.20.28:60894     142.250.217.136:443    ESTABLISHED
TCP    10.250.20.28:60895     142.250.176.2:443      ESTABLISHED
TCP    10.250.20.28:60896     151.101.129.140:443    ESTABLISHED
TCP    10.250.20.28:60897     151.101.193.140:443    ESTABLISHED
TCP    10.250.20.28:60898     151.101.1.140:443      ESTABLISHED
TCP    10.250.20.28:60899     35.224.251.249:443     ESTABLISHED
TCP    10.250.20.28:60900     76.223.57.73:443       ESTABLISHED
TCP    10.250.20.28:60901     13.107.42.14:443       ESTABLISHED
TCP    10.250.20.28:60902     3.167.212.101:443      ESTABLISHED
TCP    10.250.20.28:60903     34.54.30.30:443        ESTABLISHED
TCP    10.250.20.28:60904     54.69.251.6:443        ESTABLISHED
TCP    10.250.20.28:60906     142.250.217.142:443    ESTABLISHED
TCP    10.250.20.28:60907     142.250.141.157:443    ESTABLISHED
TCP    10.250.20.28:60908     216.239.34.181:443     ESTABLISHED
TCP    10.250.20.28:60911     104.18.37.212:443      ESTABLISHED
TCP    10.250.20.28:60912     104.16.117.43:443      ESTABLISHED
TCP    10.250.20.28:60913     151.101.193.91:443     ESTABLISHED
TCP    10.250.20.28:60914     104.19.230.21:443      ESTABLISHED
TCP    10.250.20.28:60915     3.168.149.142:443      ESTABLISHED
TCP    10.250.20.28:60916     151.101.194.217:443    ESTABLISHED
TCP    10.250.20.28:60917     34.120.195.249:443     ESTABLISHED
TCP    10.250.20.28:60918     3.168.149.142:443      ESTABLISHED
TCP    10.250.20.28:60919     142.250.188.234:443    ESTABLISHED
TCP    10.250.20.28:60920     99.84.66.44:443        ESTABLISHED
TCP    10.250.20.28:60921     99.84.66.44:443        ESTABLISHED
TCP    10.250.20.28:60922     142.250.188.227:443    ESTABLISHED
TCP    10.250.20.28:60923     142.250.188.228:443    ESTABLISHED
TCP    10.250.20.28:60925     142.250.188.227:443    ESTABLISHED
TCP    10.250.20.28:60926     142.250.68.67:443      ESTABLISHED
TCP    10.250.20.28:60927     44.196.125.45:443      ESTABLISHED
TCP    10.250.20.28:60928     54.187.159.182:443     ESTABLISHED
TCP    10.250.20.28:60929     54.187.159.182:443     ESTABLISHED
TCP    10.250.20.28:60930     34.149.66.134:443      ESTABLISHED
TCP    10.250.20.28:60931     142.251.215.227:443    ESTABLISHED
TCP    10.250.20.28:60932     142.250.176.14:443     ESTABLISHED
TCP    10.250.20.28:60933     20.190.190.129:443     ESTABLISHED
TCP    10.250.20.28:60934     20.190.151.8:443       TIME_WAIT
TCP    10.250.20.28:60936     142.251.40.46:443      ESTABLISHED
TCP    10.250.20.28:60937     54.68.183.151:443      ESTABLISHED
TCP    10.250.20.28:60938     104.18.35.46:443       TIME_WAIT
TCP    10.250.20.28:60939     104.18.35.46:443       ESTABLISHED
TCP    10.250.20.28:60940     151.101.1.91:443       ESTABLISHED
TCP    10.250.20.28:60941     192.0.73.2:443         ESTABLISHED
TCP    10.250.20.28:60942     104.18.35.46:443       TIME_WAIT
TCP    10.250.20.28:60943     151.101.128.176:443    ESTABLISHED
TCP    10.250.20.28:60944     54.149.209.136:443     ESTABLISHED
TCP    10.250.20.28:60945     104.18.35.46:443       ESTABLISHED
TCP    10.250.20.28:60946     34.49.204.74:443       ESTABLISHED
TCP    10.250.20.28:60947     34.49.204.74:443       ESTABLISHED
TCP    10.250.20.28:63361     74.125.137.188:5228    ESTABLISHED
TCP    10.250.20.28:63387     44.205.171.153:443     ESTABLISHED
TCP    10.250.20.28:63390     44.238.43.4:443        ESTABLISHED
TCP    10.250.20.28:63679     35.81.85.251:443       ESTABLISHED
TCP    10.250.20.28:63681     52.96.164.114:443      ESTABLISHED
TCP    10.250.20.28:63683     10.202.74.36:3389      ESTABLISHED
TCP    127.0.0.1:22           0.0.0.0:0              LISTENING
TCP    127.0.0.1:111          0.0.0.0:0              LISTENING
TCP    127.0.0.1:139          0.0.0.0:0              LISTENING
TCP    127.0.0.1:4767         0.0.0.0:0              LISTENING
TCP    127.0.0.1:4767         127.0.0.1:50421        ESTABLISHED
TCP    127.0.0.1:5037         0.0.0.0:0              LISTENING
TCP    127.0.0.1:5037         127.0.0.1:60784        ESTABLISHED
TCP    127.0.0.1:8599         0.0.0.0:0              LISTENING
TCP    127.0.0.1:8769         0.0.0.0:0              LISTENING
TCP    127.0.0.1:50355        0.0.0.0:0              LISTENING
TCP    127.0.0.1:50370        0.0.0.0:0              LISTENING
TCP    127.0.0.1:50370        127.0.0.1:51208        ESTABLISHED
TCP    127.0.0.1:50421        127.0.0.1:4767         ESTABLISHED
TCP    127.0.0.1:51172        127.0.0.1:65001        ESTABLISHED
TCP    127.0.0.1:51208        127.0.0.1:50370        ESTABLISHED
TCP    127.0.0.1:60781        127.0.0.1:60782        ESTABLISHED
TCP    127.0.0.1:60782        127.0.0.1:60781        ESTABLISHED
